file,file-chromo,file inter chromo,chromo - file
out1843,3,0,1
out1844,3,0,1
out1845,3,0,1
out1847,3,0,1
out1849,3,0,1
out1850,3,0,1
out1852,3,0,1
out1853,3,0,1
out1855,3,0,1
out1856,3,0,1
out1858,3,0,1
out1860,3,0,1
out1862,3,0,1
out1863,3,0,1
out1864,3,0,1
out1865,3,0,1
out1869,3,0,1
out1871,3,0,1
out1872,3,0,1
out1874,3,0,1
out1875,3,0,1
out1876,3,0,1
out1877,3,0,1
out1879,3,0,1
out1881,3,0,1
out1884,3,0,1
out1885,3,0,1
out1887,3,0,1
out1888,3,0,1
out1890,3,0,1
out1891,3,0,1
out1892,3,0,1
out1893,3,0,1
out1895,3,0,1
out1898,3,0,1
out1899,3,0,1
out1900,3,0,1
out1901,3,0,1
out1902,3,0,1
out1903,3,0,1
out1905,3,0,1
out1906,3,0,1
out1908,3,0,1
out1909,3,0,1
out1910,3,0,1
out1911,3,0,1
out1914,3,0,1
out1915,3,0,1
out1917,3,0,1
out1919,3,0,1
out1922,3,0,1
out1923,3,0,1
out1924,3,0,1
out1925,3,0,1
out1927,3,0,1
out1929,3,0,1
out1930,3,0,1
out1932,3,0,1
out1934,3,0,1
out1935,3,0,1
out1937,3,0,1
out1938,3,0,1
out1940,3,0,1
out1942,3,0,1
out1943,3,0,1
out1944,3,0,1
out1946,3,0,1
out1947,3,0,1
out1948,3,0,1
out1949,3,0,1
out1952,3,0,1
out1953,3,0,1
out1955,3,0,1
out1956,3,0,1
out1957,3,0,1
out1958,3,0,1
out1960,3,0,1
out1961,3,0,1
out1963,3,0,1
out1964,3,0,1
out1965,3,0,1
out1966,3,0,1
out1967,3,0,1
out1970,3,0,1
out1971,3,0,1
out1973,3,0,1
out1974,3,0,1
out1975,3,0,1
out1976,3,0,1
out1978,3,0,1
out1980,3,0,1
out1982,3,0,1
out1984,3,0,1
out1985,3,0,1
out1987,3,0,1
out1989,3,0,1
out1990,3,0,1
out1991,3,0,1
out1992,3,0,1
out1994,3,0,1
out1995,3,0,1
out1996,3,0,1
out1997,3,0,1
out1999,3,0,1
out2000,3,0,1
out2001,3,0,1
out2002,3,0,1
out2003,3,0,1
out2005,3,0,1
out2007,3,0,1
out2010,3,0,1
out2012,3,0,1
out2013,3,0,1
out2014,3,0,1
out2017,3,0,1
out2018,3,0,1
out2022,3,0,1
out2023,3,0,1
out2024,3,0,1
out2025,3,0,1
out2026,3,0,1
out2027,3,0,1
out2029,3,0,1
out2030,3,0,1
out2032,3,0,1
out2033,3,0,1
out2034,3,0,1
out2036,3,0,1
out2037,3,0,1
out2040,3,0,1
out2042,3,0,1
out2044,3,0,1
out2045,3,0,1
out2046,3,0,1
out2047,3,0,1
out2049,3,0,1
out2051,3,0,1
out2052,3,0,1
out2054,3,0,1
out2055,3,0,1
out2056,3,0,1
out2057,3,0,1
out2058,3,0,1
out2061,3,0,1
out2062,3,0,1
out2063,3,0,1
out2064,3,0,1
out2065,3,0,1
out2068,3,0,1
out2069,3,0,1
out2071,3,0,1
out2073,3,0,1
out2074,3,0,1
out2076,3,0,1
out2077,3,0,1
out2078,3,0,1
out2079,3,0,1
out2080,3,0,1
out2082,3,0,1
out2085,3,0,1
out2087,3,0,1
out2088,3,0,1
out2089,3,0,1
out2090,3,0,1
out2092,3,0,1
out2094,3,0,1
out2095,3,0,1
out2096,3,0,1
out2097,3,0,1
out2099,3,0,1
out2101,3,0,1
out2102,3,0,1
out2103,3,0,1
out2104,3,0,1
out2105,3,0,1
out2106,3,0,1
out2107,3,0,1
out2108,3,0,1
out2109,3,0,1
out2110,3,0,1
out2112,3,0,1
out2113,3,0,1
out2114,3,0,1
out2115,3,0,1
out2118,3,0,1
out2119,3,0,1
out2120,3,0,1
out2121,3,0,1
out2123,3,0,1
out2126,3,0,1
out2127,3,0,1
out2128,3,0,1
out2129,3,0,1
out2130,3,0,1
out2131,3,0,1
out2132,3,0,1
out2135,3,0,1
out2136,3,0,1
out2138,3,0,1
out2140,3,0,1
out2141,3,0,1
out2143,3,0,1
out2144,3,0,1
out2146,3,0,1
out2148,3,0,1
out2149,3,0,1
out2150,3,0,1
out2151,3,0,1
out2152,3,0,1
out2153,3,0,1
out2155,3,0,1
out2156,3,0,1
out2157,3,0,1
out2159,3,0,1
out2161,3,0,1
out2163,3,0,1
out2164,3,0,1
