file,file-chromo,file inter chromo,chromo - file
out1999,3,0,20
out2000,3,0,20
out2001,3,0,20
out2003,3,0,20
out2005,3,0,20
out2007,3,0,20
out2010,3,0,20
out2013,3,0,20
out2014,3,0,20
out2017,3,0,20
out2018,3,0,20
out2022,3,0,20
out2023,3,0,20
out2024,3,0,20
out2025,3,0,20
out2026,3,0,20
out2027,3,0,20
out2029,3,0,20
out2030,3,0,20
out2032,3,0,20
out2033,3,0,20
out2034,3,0,20
out2036,3,0,20
out2037,3,0,20
out2040,3,0,20
out2044,3,0,20
out2045,3,0,20
out2046,3,0,20
out2047,3,0,20
out2049,3,0,20
out2051,3,0,20
out2052,3,0,20
out2055,3,0,20
out2056,3,0,20
out2057,3,0,20
out2058,3,0,20
out2061,3,0,20
out2062,3,0,20
out2063,3,0,20
out2064,3,0,20
out2065,3,0,20
out2068,3,0,20
out2069,3,0,20
out2071,3,0,20
out2073,3,0,20
out2074,3,0,20
out2077,3,0,20
out2078,3,0,20
out2079,3,0,20
out2080,3,0,20
out2082,3,0,20
out2085,3,0,20
out2087,3,0,20
out2088,3,0,20
out2089,3,0,20
out2090,3,0,20
out2092,3,0,20
out2094,3,0,20
out2095,3,0,20
out2096,3,0,20
out2097,3,0,20
out2099,3,0,20
out2101,3,0,20
out2102,3,0,20
out2103,3,0,20
