CG10641	CG13850
twi	CG13850
Atpalpha	CG13850
CG6416	CG13850
ix	E2f2
hkb	E2f2
CG9509	E2f2
E(bx)	E2f2
nmo	E2f2
Bap60	E2f2
dsx	E2f2
cact	Idgf1
how	Idgf1
svr	Idgf1
ken	Idgf1
chinmo	Pgant35A
CG18369	Pgant35A
mbl	Pen
mri	Pen
CG34417	Pen
gkt	Pen
kkv	Pen
LCBP1	Pen
neur	Pen
MYPT-75D	tld
Su(var)2-10	tld
CycB	tld
sina	tld
car	tld
xl6	tld
CtBP	tld
kuk	tld
fs(2)ltoPP43	tld
Rpd3	tld
dpld	tld
dom	tld
l(3)mbt	tld
Sema-2a	tld
Mmp1	Tl
jing	Tl
kuz	Tl
CG9769	Tl
rux	Tl
klar	tkv
oaf	tkv
dnc	tkv
Lac	tkv
knrl	CG4500
emb	CG4500
stil	CG4500
qkr58E-3	CG4500
cact	CG8216
mask	CG8216
hkb	CG8216
eg	snf
CdsA	ecd
fred	ecd
knrl	ecd
Rheb	ecd
eIF-4E	ecd
Atpalpha	ecd
l(2)37Cc	ecd
Taf4	ecd
v	EcR
pcm	EcR
CG18369	EcR
mbl	LCBP1
mri	LCBP1
CG34417	LCBP1
gkt	LCBP1
pn	LCBP1
dah	LCBP1
ash2	LCBP1
kkv	LCBP1
cort	LCBP1
Pen	LCBP1
dos	LCBP1
CG32486	LCBP1
Lac	Antp
140up	Moe
bib	Moe
MED4	Moe
Mmp1	Moe
Arp66B	Traf6
CG8149	Traf6
Alh	Traf6
E2f	Traf6
sec13	Traf6
Mtl	Traf6
t	Traf6
Pop2	Traf6
lva	Traf6
E2f	ap
Traf6	Pop2
Ice	Pop2
Psn	baz
nej	baz
G-oalpha47A	bcd
ey	bcd
LanA	bcd
CSN4	bcd
Dcp-1	bcd
drk	bcd
NetB	bcd
slam	bcd
SelG	bcd
Khc	bcd
Patj	Atpalpha
Nrx-IV	Atpalpha
CG13850	Atpalpha
eIF-4E	Atpalpha
ecd	Atpalpha
nej	Atpalpha
Es2	pdm2
Pk61C	pdm2
Lis-1	pdm2
Pvf1	pdm2
neur	pdm2
Su(var)2-10	tin
Pcaf	tin
mfas	tin
car	tin
xl6	tin
CtBP	tin
fs(2)ltoPP43	tin
sls	tin
Rpd3	tin
dpld	tin
CG32082	tin
dom	tin
Mbs	tin
Psn	tin
numb	Idgf2
shot	Idgf2
Dad	slam
tub	slam
Nf1	slam
shrb	slam
bcd	slam
Su(z)12	slam
kay	trio
ix	trio
hkb	trio
bun	trio
E2f2	trio
her	trio
Pkn	trio
Src42A	qm
cathD	qm
tow	uzip
msn	uzip
brm	N
CG3829	N
form3	N
ey	N
CSN4	SelG
Wnt5	SelG
Tak1	SelG
drk	SelG
bcd	SelG
brk	SelG
Chc	Cct1
apt	Cct1
Dredd	pio
W	pio
bnl	chrw
nej	chrw
bap	chrw
scra	chrw
dnc	chrw
dec-1	chrw
Axn	chrw
Sry-delta	prod
sgg	prod
meso18E	prod
stg	prod
bowl	prod
MED4	prd
Cyp1	prd
knrl	prd
hyd	prd
trc	prd
Gtp-bp	prd
wls	prd
par-6	Prm
rdo	Prm
da	thr
hpo	thr
tok	thr
spn-A	thr
Borr	thr
CG16719	thr
ine	thr
bon	thr
