elav	Atg6
Antp	Atg6
N	CG3829
ben	CG3829
sina	sle
Ca-alpha1D	sle
chif	sle
Ddx1	sle
Apc	sle
msn	sle
cg	Cka
Src64B	Cka
N	form3
CG2681	form3
shot	Pk61C
Vps28	Pk61C
par-1	Pk61C
cta	Pk61C
pdm2	Pk61C
neur	Pk61C
MYPT-75D	Pcaf
Su(var)2-10	Pcaf
sina	Pcaf
l(2)efl	Pcaf
xl6	Pcaf
CtBP	Pcaf
kuk	Pcaf
Rpd3	Pcaf
dpld	Pcaf
dom	Pcaf
tld	Pcaf
CG18369	Pcaf
mbl	sbb
mri	sbb
CG34417	sbb
Dys	sbb
kkv	sbb
LCBP1	sbb
Galpha73B	sbb
bon	Ef1gamma
sw	Ef1gamma
cin	Ef1gamma
Rho1	Ef1gamma
eff	Ef1gamma
Pgant35A	Ef1gamma
siz	Ef1gamma
Es2	FKBP59
Uba1	Eip71CD
Alk	Eip71CD
CG17221	Eip71CD
mth	Eip71CD
Nrx-IV	Eip71CD
tou	Eip71CD
pdm2	Eip71CD
CG2678	Eip71CD
Rab5	xmas-2
MED24	xmas-2
frc	xmas-2
capu	xmas-2
twi	xmas-2
Hr78	xmas-2
sced	xmas-2
Hph	xmas-2
pio	xmas-2
Dredd	xmas-2
knrl	xmas-2
CG12301	ppan
amx	ppan
l(2)efl	ppan
Ddx1	Iswi
car	Iswi
fs(2)ltoPP43	Iswi
Sur	Iswi
CG3987	ine
up	ine
Stat92E	ine
Eip63F-1	ine
Mhc	ine
MED24	ine
wrapper	Tina-1
Dredd	Tina-1
da	Tina-1
hpo	bon
spn-A	bon
Borr	bon
Ef1gamma	bon
Mer	bon
glu	bon
CycE	bon
esc	bon
alien	bon
Eip63F-1	bon
E(z)	bon
Caf1	bon
Pgant35A	bon
thr	bon
emp	bon
pbl	pot
cactin	pot
sec23	pot
cos	pot
Su(H)	pot
tum	pot
alph	pot
mbo	pot
osa	pot
Hr46	pot
Sb	pot
shot	chic
wal	chic
Nf1	chic
Dl	chic
ap	chic
Hmgs	chic
sas	Hem
toe	Hem
Dys	Hem
ken	Hem
sina	Hem
Ca-alpha1D	chif
sle	chif
Abd-B	chif
Mbs	chif
Apc	chif
how	S6kII
msi	S6kII
lva	S6kII
Eip74EF	wal
chic	wal
CG1942	wal
shn	wal
Idgf4	wal
tou	wal
CG33205	wal
ena	wls
l(2)gd1	wls
Appl	wls
par-6	wls
Prm	wls
bib	wls
l(2)efl	Ddx1
sle	Ddx1
Iswi	Ddx1
Glycogenin	Ddx1
Dscam	Ddx1
Jra	Ddx1
