CG9509	Jra
Dcp-1	d4
EcR	Jra
cort	CG9104
dj	Glycogenin
Dscam	vlc
mbt	stumps
pnr	oaf
yrt	dsd
Iswi	xl6
ALiX	Arc42
dl	E(z)
Eip71CD	cp309
crc	lmd
sktl	Idgf4
Idgf4	CycE
brm	Pvf1
dco	W
140up	vap
aft	Atg5
PhKgamma	cher
Hmgs	sdt
Sur	neur
Src42A	svr
Vps28	wal
snf	Mmp1
Dat	osa
cas	robo
fs(1)M3	Yp1
gkt	dup
CG6416	Hph
fl(2)d	Sema-2a
wal	jar
Es2	dei
tral	Oseg1
CG18369	dos
Sobp	rhea
mus304	slam
Cct1	gl
Taf4	fs(1)K10
Hs2st	ALiX
E(z)	CG17739
pdm2	Lis-1
Src42A	ksr
Apc2	tub
esg	exu
dos	dpp
CG33205	shg
Pvr	Dcp-1
flw	cic
spir	Pvf1
CG10641	wrapper
dj	loco
Ddx1	Dlic2
fs(1)M3	opa
mbl	fal
flfl	Dif
Krn	how
Tak1	toy
zfh1	spir
Lis-1	CG2678
Galpha73B	Idgf2
chif	Ank2
Mitf	loco
Dscam	Abd-B
knrl	Dlic2
ash2	CSN4
scra	Ggamma1
cas	bnb
drk	CG13850
Myo31DF	l(3)mbt
brk	CG6416
Set2	wal
grp	ey
Hmgs	sgg
Dif	sec13
betaTub56D	E(z)
Pgant35A	sav
Abi	Idgf5
ALiX	vap
cher	Ice
dib	Alk
Dl	Ef1gamma
spen	Moe
sced	capu
Dad	Orct
CG6416	blow
CycA	Borr
qm	Pkn
fax	chic
CG34417	Antp
Tl	tud
stumps	Cyt-c-d
sls	CG9445
up	CG3987
stg	fs(1)K10
toy	RpL30
Abd-B	fd59A
fal	Apc2
Cct1	rdx
rad50	cnk
CkIIalpha	gbb
mbl	SelD
spin	SelD
shrb	Hem
alph	Dcp-1
E(bx)	Taf4
CkIIalpha	ry
ry	Jra
tou	sno
Idgf4	Hem
sina	sec13
Bap60	Orct
wus	fred
kay	d
CSN4	shot
Mmp1	Alh
alien	Ef1gamma
mth	ksr
amx	CG9769
CycB	Alk
LanA	sdt
jumu	Tak1
Hem	Rack1
vlc	yrt
Pi3K92E	spen
CG8216	hdc
Spred	aft
Arp66B	hdc
pdm2	l(2)37Cc
zfh2	enok
snf	hkb
tok	osa
dco	btl
Ggamma1	aft
ecd	Krn
kuz	fl(2)d
Apc2	emc
Nrx-IV	Eip71CD
Idgf1	chp
Nrx-IV	prd
Eip63F-1	ftz-f1
sas	Pi3K92E
drm	Dif
Bap60	CG6416
Wnt5	Tina-1
Rheb	CadN
cic	kay
crc	Dap160
BicD	Rca1
Hph	Sur
scyl	elav
CG4500	Rack1
BicD	dec-1
cact	svr
Atg6	Mmp2
asf1	jumu
tutl	toy
Lar	MED11
raw	inaC
Set2	Hr78
Cp1	140up
Chc	Cct1
ken	mfas
E(z)	sktl
ey	chrw
pdm2	msn
dec-1	srp
shg	msn
pot	Su(var)2-10
how	sns
disco	stil
zfh2	Rab7
Rpd3	l(3)mbt
Sulf1	CG3987
mfas	car
jar	glec
sbb	G-ialpha65A
Pak	Dlic2
cathD	Orct
CG6416	dpn
Akap200	qkr58E-3
scyl	chn
Lis-1	pdm2
ap	hyd
pbl	sno
mri	Dys
Mmp1	CG34379
phyl	Mkp3
brk	dib
jumu	l(2)gl
l(2)gl	knrl
eIF-4a	cnc
alph	tum
fs(1)K10	drm
pot	CG2678
bhr	Bap60
trn	Idgf5
Sobp	B4
sll	Sry-delta
spen	dco
CG10641	sbb
bt	Glycogenin
Hmgs	inv
Caf1	bon
bnl	disco
CG3987	up
Tm1	boss
dec-1	LIMK1
caps	Chi
Src42A	scra
Sur	E(bx)
Tina-1	bap
Src42A	Hs6st
ALiX	scra
Sry-delta	cbt
ey	par-1
Mlc1	Lim1
elav	enok
Cip4	Gtp-bp
dj	BicD
CG4945	Myo61F
Src42A	Dys
CG4500	lmd
fru	pnt
scrib	cin
Pop2	trio
par-6	Ddx1
pnt	cp309
MED11	dpld
Taf4	Mhc
cnk	Hr46
Arc-p34	ct
CG17221	ap
Sh	CG1942
dom	Sur
eIF-4a	G-oalpha47A
Mmp2	Sh
Rho1	ird5
msn	form3
crol	eve
Lim1	enok
sas	shot
Ark	Su(z)12
dos	LIMK1
pbl	Su(var)2-10
Cks30A	mmy
cas	dnc
amx	Nrx-IV
bigmax	Sb
Atpalpha	baz
dl	apt
Mmp1	cin
Hs2st	rux
Orct	Dat
sav	blow
tou	CSN4
lic	sina
chic	gro
bs	kuz
Caf1	sktl
Hr46	Hph
spen	Sema-2a
bowl	sav
Optix	Trl
ey	Khc
Sema-2a	lva
spen	ben
bap	ofs
Uba1	peb
glec	MED24
Alh	CG8149
alpha-Spec	caup
Sry-delta	Jra
pdm2	CG33205
E2f2	CG2678
E2f2	hkl
kkv	CG4500
Idgf2	drm
ey	bt
foxo	rg
d	Nrx-IV
alien	alien
CG9520	sns
Syx1A	Ark
zfh1	brk
ry	par-1
LIMK1	dos
drl	Alh
SelD	fl(2)d
14-3-3zeta	uzip
Axn	e
bigmax	Pvf1
CG2681	prd
Mer	N
dlg1	cbt
Prm	Msp-300
CG34417	cbt
cta	meso18E
mib1	l(2)efl
tutl	rdx
Dl	jumu
NetB	Jra
Dad	Sobp
pelo	dsd
qua	tutl
Dhc64C	Eip71CD
CG34379	wg
Dscam	sina
Sulf1	numb
Eip63F-1	Eip74EF
Nf1	CG9520
spen	Dhc64C
msk	cort
jagn	pnt
G-ialpha65A	CG10641
run	CG34379
mbt	Pkn
scrib	glec
LCBP1	kkv
esc	Caf1
kis	Sry-delta
Ddx1	Dscam
ct	EcR
betaTub56D	thr
kuz	hdc
flw	dco
rad50	emp
Myo31DF	lwr
Mitf	odd
CG3075	spir
ry	dpn
jumu	sno
sdt	Sur
Patj	pelo
asf1	rdo
esc	tok
pav	fs(1)K10
Antp	klar
Tm1	d4
cactin	Not1
Crk	CG4945
rux	Mitf
CG34417	Sry-delta
Pgant35A	Apc
Mitf	Rho1
sw	LanB2
CG1244	da
RpL30	Crk
toy	Crk
dmt	Idgf4
lva	dsx
gro	fw
run	lmd
fal	RhoGAP68F
Hem	Dl
raw	Set2
p53	LIMK1
Pka-C3	Pka-C3
Mef2	G-oalpha47A
E2f2	PebIII
Dcp-1	cta
scra	W
Dat	drm
pav	esg
Nrt	CG14995
form3	RhoGAP68F
bt	Lcp65Ag1
tup	crc
Arc-p34	Pi3K92E
eg	Mtl
emb	RhoGAPp190
CycB	Dat
noc	RhoGAPp190
stil	cic
Dcp-1	eve
dos	Myo61F
pcm	EcR
par-1	Patj
Rca1	ct
Snap	Atg5
Hph	ash2
Hph	dei
Aph-4	tow
spir	sw
Dad	Set2
mfas	CtBP
bigmax	CG17221
sqd	sina
spn-A	sqd
14-3-3zeta	Ca-alpha1D
Arc42	p53
cnk	mbo
l(2)efl	dpp
chinmo	Snap
pnr	emb
Akap200	wg
Pen	CG34417
Mmp1	sec13
ttk	hyd
Uba1	cathD
MED24	brk
CadN	rg
sli	msk
fd59A	Sulf1
lmd	tra2
dj	Cka
yellow-f	wg
CG9509	jing
frc	chn
Mmp2	pnt
wee	tum
Mef2	Ank2
ecd	l(2)37Cc
Snap	Syx1A
Sry-delta	sgg
CG13850	CdsA
bcd	Lis-1
Su(H)	rad50
Apc2	wrapper
xmas-2	twi
Akap200	puc
tutl	qua
Uba1	CG18369
tsh	raw
Hs2st	mask
sced	MED24
eg	Fmr1
bcd	pelo
cg	CG4945
Idgf2	ast
jar	wal
tou	dnc
RhoGAPp190	NAT1
spn-A	Idgf4
jumu	Borr
Mer	Eip63F-1
Mer	Caf1
run	pnr
lva	RhoGAP68F
Sh	Rack1
Snap	fog
wrapper	Cks30A
gl	siz
Rack1	qm
dib	how
LanA	Sobp
ftz-f1	Sur
sll	ry
jar	LIMK1
santa-maria	scra
RhoGAPp190	140up
G-salpha60A	Hs2st
th	Pvf1
Eip71CD	Sb
hkl	hkb
msk	tsh
Rho1	sec13
da	Mer
eve	spen
wupA	elav
ksr	sas
prd	Nf1
Lar	Sema-1b
CG1942	Wnt5
sls	dos
Galpha73B	cathD
pbl	BicD
cort	mbl
Pvf1	chic
CG12301	ppan
dsd	Nrt
Sobp	bs
shot	stumps
Rab5	Rho1
CG32082	Mbs
cin	Mmp1
Sobp	ash2
ry	bs
CG2681	CG17221
apt	Dl
btl	Dif
asf1	Caf1
RhoGAP68F	form3
ex	sina
Su(H)	CG16719
Src64B	msn
Pvr	MYPT-75D
Oseg1	mth
mfas	ken
CycB	dpld
sar1	tub
CG8247	wal
dib	rdx
lva	Pvr
CG8247	ird5
mam	stumps
NetB	CG9104
Bap60	Idgf5
ash1	ird5
E(z)	Caf1
dl	CG1244
tra2	by
140up	bib
CG33205	emc
Dif	numb
CG3829	msn
Apc2	bun
Lim1	trc
toy	Dlic2
