sdt	knrl
fal	knrl
Fas3	knrl
CG4500	knrl
Pvf1	knrl
RhoGAPp190	Pkn
sax	Pkn
Nrt	Pkn
Src42A	Pkn
svr	Pkn
Aph-4	Pkn
qm	Pkn
CG6416	Sry-delta
Jra	Sry-delta
dpn	Sry-delta
CG9509	Sry-delta
dl	Sry-delta
meso18E	Sry-delta
cta	Sry-delta
prod	Sry-delta
E2f	Alh
drl	Alh
t	Alh
foxo	pnut
FKBP59	pnut
S6kII	pnut
lilli	pnut
opa	pnut
gro	phyl
Atg6	phyl
wupA	phyl
Sxl	phyl
l(2)gl	phyl
gl	phyl
elav	phyl
CG9769	phyl
stil	phyl
tou	phyl
Tm1	CG17739
CG17739	CG17739
Sobp	B4
sar1	B4
Hr46	B4
brm	CG2681
knrl	CG2681
Fas3	CG2681
crol	CG2681
ap	CG2681
pdm2	CG2681
N	CG2681
prd	CG2681
Rab7	tow
Mmp2	tow
sbb	tow
Apc	tow
Cip4	tow
uzip	tow
CG6416	hkl
ix	hkl
hkb	hkl
CG9509	hkl
bl	hkl
PebIII	hkl
her	hkl
rux	sina
Abd-B	sina
Glycogenin	sina
dpld	sina
dom	sina
ttk	ry
CG6416	ry
CG9509	ry
Patj	ry
dsd	ry
trc	ry
Idgf5	ry
sina	rux
ine	rux
Abd-B	rux
Dscam	rux
scyl	boss
tup	boss
zfh2	boss
eya	Mkp3
CadN	Mkp3
fw	Mkp3
Rheb	Mkp3
tou	Mkp3
Tm1	inaC
inaC	inaC
eg	sno
dup	sno
scrib	sno
Optix	sno
mbt	sno
p53	sno
glec	sno
e	jagn
Src64B	jagn
cg	jagn
Aph-4	jagn
tra	dpn
Jra	dpn
sll	dpn
Lcp65Ag1	dpn
Axn	dpn
Sry-delta	dpn
CG9509	dpn
vlc	dpn
kis	dpn
Taf4	dpn
dl	dpn
meso18E	dpn
brat	dpn
prod	dpn
stg	dpn
eg	wrapper
Khc	wrapper
rhea	wrapper
capu	wrapper
LanB2	wrapper
mbt	wrapper
Hr78	wrapper
eIF-4E	wrapper
betaTub56D	Ca-alpha1D
ash1	Ca-alpha1D
sle	Ca-alpha1D
chif	Ca-alpha1D
Abd-B	Ca-alpha1D
Lim1	Ca-alpha1D
mri	Ca-alpha1D
Appl	Ca-alpha1D
ird5	Ca-alpha1D
Dscam	Ca-alpha1D
glec	Ca-alpha1D
l(2)37Cc	Ca-alpha1D
Alh	E2f
t	E2f
Pi3K92E	Dp
dl	Dp
Rca1	Dp
neur	l(2)efl
MED11	l(2)efl
Su(var)2-10	l(2)efl
CycB	l(2)efl
bib	l(2)efl
Pcaf	l(2)efl
Iswi	l(2)efl
Ddx1	l(2)efl
Mer	l(2)efl
car	l(2)efl
xl6	l(2)efl
CtBP	l(2)efl
kuk	l(2)efl
jumu	l(2)efl
fs(2)ltoPP43	l(2)efl
Sur	l(2)efl
Rpd3	l(2)efl
CG4945	l(2)efl
dpld	l(2)efl
dom	l(2)efl
Dscam	l(2)efl
l(3)mbt	l(2)efl
tld	l(2)efl
Myo61F	l(2)efl
tin	l(2)efl
toy	cnc
tral	cnc
RpL30	cnc
CG17221	Atg5
dj	Atg5
CG1942	Atg5
mth	Atg5
Pvf1	Atg5
Crk	acj6
RpL30	acj6
Optix	Trl
Pi3K92E	Trl
pnt	Trl
Sema-1b	Trl
Aph-4	Trl
tkv	Trl
tll	d4
Dat	d4
lwr	d4
hpo	CG16719
tok	CG16719
alien	CG16719
Eip63F-1	CG16719
Idgf4	CG16719
Caf1	CG16719
thr	CG16719
Mmp2	CadN
Mkp3	CadN
Rheb	CadN
uzip	CadN
phyl	gro
Atg6	gro
gl	gro
eIF-4a	gro
bowl	sec13
lva	sec13
Arp66B	sec13
CG8149	sec13
beta4GalNAcTA	sec13
Ephrin	sec13
Gtp-bp	sec13
Traf6	sec13
trio	sec13
Dif	sec13
LanB2	klar
run	klar
alpha-Spec	klar
caup	klar
Mef2	klar
Hem	Rack1
noc	Rack1
sdt	Rack1
CG17221	Rack1
Cks30A	Rack1
Sh	Rack1
Hs6st	Rack1
B4	Sobp
Dad	Sobp
Orct	Sobp
sar1	Sobp
cathD	ash1
betaTub56D	ash1
Ca-alpha1D	ash1
sle	ash1
mri	ash1
Ald	ash1
CG9445	ash1
Snap	ash1
ird5	ash1
eff	ash1
Msp-300	ash1
l(2)37Cc	ash1
fd59A	inv
Pde8	inv
Ank2	inv
Pgant35A	inv
Dif	inv
Mitf	inv
Pk61C	shot
FKBP59	shot
sas	shot
rhea	shot
run	shot
Set2	shot
Nrx-IV	shot
Atpalpha	shot
Mef2	shot
cher	Oseg1
Lcp65Ag1	Oseg1
PhKgamma	Oseg1
Ark	Oseg1
CG17221	Oseg1
Syx1A	Oseg1
mth	Oseg1
shn	Oseg1
bt	Oseg1
Tm1	Spred
Spred	Spred
tra2	puc
by	puc
lmd	puc
Mbs	puc
baz	puc
phyl	Atg6
gro	Atg6
wupA	Atg6
l(2)gl	Atg6
gl	Atg6
fw	Atg6
elav	Atg6
disco	Atg6
CG9769	Atg6
d	CG3829
sax	CG3829
brm	CG3829
N	CG3829
betaTub56D	sle
Ca-alpha1D	sle
ash1	sle
Ddx1	sle
Glycogenin	sle
Appl	sle
CG8247	sle
Hs2st	sle
Dscam	sle
Apc	sle
chinmo	sle
glec	sle
msn	Cka
dlg1	Cka
NAT1	Cka
Pk92B	Cka
dpp	Cka
Aph-4	Cka
prd	Cka
Src64B	form3
brm	form3
N	form3
shot	Pk61C
FKBP59	Pk61C
Vps28	Pk61C
how	Pk61C
dib	Pk61C
Atpalpha	Pk61C
neur	Pcaf
Dat	Pcaf
l(2)efl	Pcaf
Abd-B	Pcaf
CtBP	Pcaf
kuk	Pcaf
tra2	sbb
CdsA	sbb
Cyt-c-d	sbb
tow	sbb
CG10641	sbb
mri	sbb
Galpha73B	Ef1gamma
scrib	Ef1gamma
sw	Ef1gamma
cin	Ef1gamma
CG12301	Ef1gamma
dj	Ef1gamma
Dl	Ef1gamma
mth	Ef1gamma
CG4500	Ef1gamma
ecd	Ef1gamma
btl	FKBP59
emc	FKBP59
siz	FKBP59
pnut	FKBP59
shot	FKBP59
Pk61C	FKBP59
ex	FKBP59
run	FKBP59
Atpalpha	FKBP59
Mef2	FKBP59
Sema-2a	Eip71CD
Dhc64C	Eip71CD
Pak	Eip71CD
Dl	Eip71CD
Nrx-IV	Eip71CD
rdx	Eip71CD
pdm2	Eip71CD
pio	xmas-2
Galpha73B	ppan
MED11	ppan
knrl	ppan
CG12301	ppan
amx	ppan
dl	ppan
Pvf1	ppan
Dat	Iswi
l(2)efl	Iswi
car	Iswi
fs(2)ltoPP43	Iswi
Myo31DF	Iswi
Sur	Iswi
Eip63F-1	Iswi
tin	Iswi
rux	ine
CG3987	ine
Mer	ine
Stat92E	ine
Eip63F-1	ine
Mhc	ine
dlg1	Tina-1
MED24	Tina-1
Cyp1	Tina-1
tub	Tina-1
Ald	Tina-1
Wnt5	Tina-1
14-3-3zeta	Tina-1
Hph	Tina-1
pdm2	Tina-1
l(2)37Cc	Tina-1
Mer	bon
Eip63F-1	bon
chinmo	bon
Pgant35A	bon
rdo	pot
pbl	pot
cactin	pot
sec23	pot
cos	pot
Dhc64C	pot
Su(H)	pot
tum	pot
alph	pot
mbo	pot
osa	pot
Hr46	pot
sax	chic
ics	chic
Dl	chic
eff	chic
snf	chic
ap	chic
pdm2	chic
prd	chic
Cyt-c-d	Hem
Hmgs	Hem
qua	Hem
Rack1	Hem
dsf	Hem
sas	Hem
toe	Hem
ken	Hem
betaTub56D	chif
Ca-alpha1D	chif
Abd-B	chif
Hs2st	chif
Apc	chif
chinmo	chif
btl	S6kII
pnut	S6kII
how	S6kII
ex	S6kII
opa	S6kII
srp	wal
sktl	wal
ics	wal
Idgf4	wal
Mhc	wal
CG33205	wls
ct	wls
Stat92E	wls
par-6	wls
Prm	wls
bib	Ddx1
sktl	Ddx1
l(2)efl	Ddx1
sle	Ddx1
Glycogenin	Ddx1
par-6	Ddx1
Dscam	Ddx1
CG33205	Sulf1
Psn	Sulf1
v	Sulf1
Prm	Sulf1
betaTub56D	CG3987
ine	CG3987
CG8247	CG3987
Mhc	CG3987
neur	Abd-B
MED11	Abd-B
Su(var)2-10	Abd-B
CycB	Abd-B
sina	Abd-B
rux	Abd-B
Ca-alpha1D	Abd-B
Pcaf	Abd-B
chif	Abd-B
Glycogenin	Abd-B
xl6	Abd-B
CtBP	Abd-B
kuk	Abd-B
Rpd3	Abd-B
dpld	Abd-B
dom	Abd-B
l(3)mbt	Abd-B
tld	Abd-B
CG9520	Uba1
mri	Uba1
ics	Uba1
Snap	Uba1
Pen	Uba1
l(2)37Cc	Uba1
Galpha73B	bigmax
BicD	bigmax
Abl	bigmax
Sb	bigmax
Pak	bigmax
lilli	bigmax
CG17221	bigmax
wus	bigmax
dj	bigmax
dec-1	bigmax
sax	NAT1
Cka	NAT1
Nrt	NAT1
Aph-4	NAT1
fax	NAT1
Hs6st	NAT1
bnl	wupA
phyl	wupA
Atg6	wupA
G-oalpha47A	wupA
gl	wupA
shrb	wupA
elav	wupA
disco	wupA
Cip4	wupA
uzip	wupA
SelG	wupA
CG9520	Vps28
Cyp1	Vps28
Pk61C	Vps28
wupA	G-oalpha47A
Scgdelta	G-oalpha47A
sty	G-oalpha47A
Cip4	G-oalpha47A
bnl	G-salpha60A
Syb	G-salpha60A
chico	G-salpha60A
sar1	G-salpha60A
LIMK1	G-salpha60A
Ggamma1	G-salpha60A
eg	dsf
Apc2	dsf
Hem	dsf
Optix	dsf
toe	dsf
Dys	dsf
Cks30A	dsf
Sh	dsf
RhoGAPp190	Khc
Abi	Khc
wrapper	Khc
Optix	Khc
capu	Khc
Dys	Khc
Nf1	Khc
bs	Khc
Rab5	CG10641
sbb	CG10641
ecd	CG10641
CG6416	Alk
fred	Alk
Sb	Alk
p53	Alk
E2f2	Alk
Crk	ey
CSN4	ey
LIMK1	ey
NetB	ey
SelG	ey
chrw	ey
dsx	noc
Akt1	noc
Rack1	noc
Nrt	noc
svr	noc
Aph-4	noc
CG12896	noc
CG6416	ix
hkl	ix
hkb	ix
CG9509	ix
nmo	ix
Bap60	ix
PebIII	ix
snf	ix
her	ix
qua	Optix
knrl	Optix
sno	Optix
Trl	Optix
dsf	Optix
Khc	Optix
lilli	Optix
spin	Optix
bs	Optix
Fas3	Optix
par-1	Optix
Sema-1b	Optix
tkv	Optix
dlg1	sdt
knrl	sdt
Rack1	sdt
CG1942	sdt
rdx	sdt
t	sdt
lmd	sdt
CG9104	sdt
phyl	Sxl
how	Sxl
gl	Sxl
disco	Sxl
eIF-4a	Sxl
odd	rib
t	rib
eg	sas
spen	sas
CG9520	sas
Vhl	sas
foxo	sas
rad50	sas
shot	sas
Hem	sas
toe	sas
CG32082	sas
ksr	sas
Moe	sas
Atpalpha	sas
bnl	Scgdelta
G-oalpha47A	Scgdelta
Pak	Scgdelta
zfh2	Scgdelta
ast	Scgdelta
qua	sw
Apc2	sw
Ef1gamma	sw
Nrt	sw
ken	sw
fred	fal
knrl	fal
CG1942	fal
blow	fal
tral	ea
Syb	ea
eya	ea
ftz-f1	ea
RpL30	ea
twf	ea
Ark	Ice
Psn	Ice
v	Ice
Idgf2	Ice
scyl	cic
fw	cic
grp	Dok
Msp-300	Dok
cp309	rhea
wrapper	rhea
