Pka-C3	Crk
ena	Crk
sqd	ssh
d4	ssh
bhr	ssh
lwr	ssh
flfl	ssh
Dp	fs(1)K10
CG12301	fs(1)K10
amx	fs(1)K10
drm	fs(1)K10
CG1244	fs(1)K10
Taf4	fs(1)K10
dl	fs(1)K10
numb	fs(1)K10
Rca1	fs(1)K10
hyx	fs(1)K10
pcm	fs(1)K10
Arc-p34	fs(1)K10
Dif	fs(1)K10
Ice	fs(1)K10
baz	Psn
Idgf2	Psn
pelo	CkIIalpha
Iswi	CkIIalpha
fs(2)ltoPP43	car
CtBP	xl6
kuk	xl6
dpld	xl6
dom	xl6
l(3)mbt	xl6
tld	xl6
scyl	xl6
sgl	dally
fw	dally
spen	dally
Dhc64C	Pi3K92E
sax	Pi3K92E
bhr	ena
Eip63F-1	rdo
Ephrin	Sema-2a
scrib	Arc42
rhea	RhoGAPp190
cin	RhoGAPp190
capu	RhoGAPp190
eff	Dhc64C
mth	l(1)G0289
lic	l(1)G0289
BicD	l(1)G0289
sw	Apc2
mri	Apc2
Dys	Apc2
mbt	Apc2
ash2	Apc2
Wnt5	PhKgamma
Mkp3	eya
tra2	eya
sgg	Sry-delta
cta	Sry-delta
prod	Sry-delta
stg	Sry-delta
Moe	inv
chic	shot
Eip63F-1	bon
chinmo	bon
l(2)efl	neur
Pcaf	neur
zfh1	CG3075
qkr58E-3	Akap200
mask	Akap200
Idgf5	Su(z)12
trio	Su(z)12
pbl	emp
cactin	emp
Cyt-c-d	emp
sec23	emp
cos	emp
Su(H)	emp
vlc	tra
kis	tra
MED24	cathD
Snap	Pde8
Optix	knrl
frc	Pkn
E2f	Alh
l(1)G0289	Alh
Mkp3	pnut
frc	pnut
siz	pnut
Fas3	CG2681
Sur	CG2681
pdm2	CG2681
spen	CG2681
up	CG3987
tll	CG3987
bib	Abd-B
MED11	Abd-B
140up	dsf
Cks30A	dsf
bowl	dsf
l(1)G0289	Khc
Sb	Alk
PhKgamma	Alk
Pak	Alk
p53	Alk
Tak1	Alk
CSN4	ey
Wnt5	ey
NetB	ey
bcd	ey
SelG	ey
sax	ey
opa	noc
bnb	noc
eIF-4a	noc
her	ix
CdsA	ix
foxo	Optix
knrl	Optix
lilli	Optix
spin	Optix
bs	Optix
Fas3	Optix
par-1	Optix
ecd	Optix
bowl	Optix
hyd	sdt
CG13850	sdt
18w	rib
Hem	rib
LIMK1	Scgdelta
enok	Scgdelta
Hem	Scgdelta
spin	fal
sprt	fal
RhoGAP68F	fal
tral	fal
cnc	ea
betaTub56D	ea
up	Lim1
CG8247	Lim1
ird5	Lim1
pbl	Lim1
cactin	Su(H)
ppan	Su(H)
eg	CG12301
Fmr1	lilli
Eip63F-1	Mer
E(z)	Mer
Caf1	Mer
dmt	Mer
qua	Mer
rux	spin
CG9445	ash1
pn	CG2678
dah	CG2678
cort	CG2678
run	pros
xl6	neur
CtBP	neur
kuk	neur
yellow-f	lin
yrt	tra2
Arc42	lva
wal	lva
Hmgs	lva
sw	140up
lic	MED4
Optix	foxo
lilli	foxo
rg	foxo
RhoGAP68F	foxo
Moe	foxo
dsf	Apc2
cher	Apc2
Uba1	CadN
Ca-alpha1D	CadN
Mbs	chif
Apc	chif
lva	chif
foxo	wal
CycE	Mer
dj	spin
CG1942	spin
sls	mfas
CG32082	mfas
Apc	mfas
pnut	mfas
xmas-2	frc
sced	frc
Cks30A	frc
qm	frc
G-ialpha65A	frc
how	Krn
gl	Krn
Sulf1	Krn
RhoGAP68F	Ark
Mitf	Ark
Rab5	Ark
kuk	CtBP
Rpd3	CtBP
dpld	CtBP
dom	CtBP
l(3)mbt	CtBP
tld	CtBP
mus304	CtBP
bcd	Dad
slam	Dad
flfl	Dad
Dp	amx
ppan	amx
CG12301	amx
fs(1)K10	amx
drm	amx
CG1244	amx
ken	Ank2
chinmo	Ank2
Pgant35A	Ank2
sbb	Ank2
Uba1	CG34417
CG9104	CG34417
LCBP1	CG34417
ALiX	scra
